2022-03-09 16:19:20.308 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper-Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.cetc10.hjj.task.SampleTest], using SpringBootContextLoader
2022-03-09 16:19:20.324 [main] INFO  org.springframework.test.context.support.AbstractContextLoader-Could not detect default resource locations for test class [com.cetc10.hjj.task.SampleTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-03-09 16:19:20.324 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils-Could not detect default configuration classes for test class [com.cetc10.hjj.task.SampleTest]: SampleTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-03-09 16:19:21.137 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper-Found @SpringBootConfiguration com.cetc10.hjj.task.TaskApplication for test class com.cetc10.hjj.task.SampleTest
2022-03-09 16:19:21.559 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper-Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-03-09 16:19:21.637 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper-Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3c73951, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3d5c822d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6f46426d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@73700b80, org.springframework.test.context.support.DirtiesContextTestExecutionListener@49c7b90e, org.springframework.test.context.transaction.TransactionalTestExecutionListener@10d307f1, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4d5b6aac, org.springframework.test.context.event.EventPublishingTestExecutionListener@3e84448c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4a7f959b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@429bffaa, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5403f35f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@483f6d77, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7e5afaa6, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@63a12c68]
2022-03-09 16:19:26.456 [main] INFO  com.cetc10.hjj.task.SampleTest-Starting SampleTest on DESKTOP-5PC8MOR with PID 6012 (started by 邓秋雨 in D:\IdeaProject\hjj-task-manager\hjj-task-web)
2022-03-09 16:19:26.456 [main] INFO  com.cetc10.hjj.task.SampleTest-No active profile set, falling back to default profiles: default
2022-03-09 16:19:32.135 [main] INFO  com.alibaba.druid.pool.DruidDataSource-{dataSource-0} closing ...
2022-03-09 16:19:32.135 [main] INFO  org.springframework.boot.autoconfigure.logging.ConditionEvaluationReportLoggingListener-

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2022-03-09 16:42:18.855 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper-Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.cetc10.hjj.task.SampleTest], using SpringBootContextLoader
2022-03-09 16:42:18.901 [main] INFO  org.springframework.test.context.support.AbstractContextLoader-Could not detect default resource locations for test class [com.cetc10.hjj.task.SampleTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-03-09 16:42:18.902 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils-Could not detect default configuration classes for test class [com.cetc10.hjj.task.SampleTest]: SampleTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-03-09 16:42:19.658 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper-Found @SpringBootConfiguration com.cetc10.hjj.task.TaskApplication for test class com.cetc10.hjj.task.SampleTest
2022-03-09 16:42:19.981 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper-Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
